"","HNO204_37_d23_DIFF_B1","HNO204_MX_d23_DIFF_B1","HNO918_37_d23_DIFF_B1","HNO918_MX_d23_DIFF_B1","HNO919_37_d23_DIFF_B1","HNO919_MX_d23_DIFF_B1","HNO204_37_d23_DIFF_B2","HNO204_MX_d23_DIFF_B2","HNO918_37_d23_DIFF_B2","HNO918_MX_d23_DIFF_B2","HNO919_37_d23_DIFF_B2","HNO919_MX_d23_DIFF_B2"
"ENSG00000139350",549,655,688,846,534,511,265,545,345,379,350,166
"ENSG00000139351",2,8,2,2,10,10,5,2,1,1,4,0
"ENSG00000139352",1,0,5,0,0,0,15,23,0,2,3,1
"ENSG00000139354",55,112,62,138,58,77,50,92,19,60,36,40
"ENSG00000139364",45,42,32,39,23,10,31,16,25,10,31,12
"ENSG00000139370",459,577,651,793,462,495,255,579,461,431,413,229
"ENSG00000139372",725,927,980,845,844,930,389,732,468,462,453,242
"ENSG00000139405",875,778,1256,891,673,687,880,1182,862,937,1052,687
"ENSG00000139410",78,62,89,29,40,28,67,140,64,61,83,86
"ENSG00000139428",894,899,1345,1162,800,928,995,1617,1015,1082,1193,1246
"ENSG00000139433",2817,3497,3858,3412,2888,3408,2862,4559,3313,3279,3837,2230
"ENSG00000139436",373,421,512,448,431,414,135,244,257,189,189,81
"ENSG00000139437",650,831,1022,947,693,651,480,783,625,557,515,414
"ENSG00000139438",426,272,673,342,352,341,526,355,654,304,506,141
"ENSG00000139445",374,304,575,434,415,375,260,373,309,249,213,176
"ENSG00000139496",1222,1543,1618,1678,1165,1306,603,1100,865,808,762,350
"ENSG00000139505",1046,1357,1300,1396,899,985,417,860,597,734,602,251
"ENSG00000139508",1211,1565,1456,1493,839,825,552,974,733,790,712,324
"ENSG00000139514",1876,2342,2408,2651,2387,2714,852,1423,1505,1578,1350,703
"ENSG00000139515",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139517",1120,1439,1613,1642,1069,982,706,1119,1022,799,765,337
"ENSG00000139531",956,925,1365,1035,944,1115,927,1196,828,754,946,563
"ENSG00000139537",2189,2693,3585,2789,1951,1772,1360,2769,1332,2000,1741,1257
"ENSG00000139540",1,0,10,5,2,3,1,2,5,1,4,3
"ENSG00000139546",520,530,817,515,560,560,635,1056,703,582,682,796
"ENSG00000139547",10,4,18,5,9,9,15,24,9,6,4,4
"ENSG00000139549",6,1,2,0,2,7,0,0,0,2,0,2
"ENSG00000139567",6,6,19,16,12,9,0,1,3,3,3,9
"ENSG00000139572",0,2,2,2,3,3,0,3,2,0,0,2
"ENSG00000139574",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139579",421,565,605,605,364,577,397,929,429,588,504,666
"ENSG00000139597",159,158,226,185,133,100,151,254,150,105,152,92
"ENSG00000139610",0,1,0,0,0,1,2,2,1,0,4,0
"ENSG00000139613",2267,2344,3510,2841,2148,2215,1416,1731,2216,1552,1968,545
"ENSG00000139618",97,236,133,236,84,124,28,105,63,92,44,64
"ENSG00000139620",432,540,660,732,474,552,375,687,466,469,472,385
"ENSG00000139624",479,566,766,773,495,488,453,715,545,548,645,476
"ENSG00000139625",155,131,294,170,265,128,171,205,222,115,150,104
"ENSG00000139626",36,26,28,36,32,46,17,50,8,18,17,13
"ENSG00000139629",51,77,107,76,162,138,35,34,60,82,106,51
"ENSG00000139631",264,438,450,376,463,405,376,433,332,222,232,246
"ENSG00000139636",307,562,670,586,468,526,337,556,427,337,321,350
"ENSG00000139637",804,867,1094,971,569,746,884,1598,811,1190,1001,1223
"ENSG00000139641",1461,1615,2241,1934,1463,1474,1054,1577,1504,1329,1489,986
"ENSG00000139644",22889,26909,39268,33567,24212,23686,15476,27381,22764,23772,24519,10641
"ENSG00000139645",1547,1744,2538,2128,1486,1685,922,1348,1592,1313,1359,631
"ENSG00000139648",0,0,0,0,0,1,0,0,0,0,4,0
"ENSG00000139651",1142,1307,1689,1342,1130,1086,880,1392,1096,970,955,548
"ENSG00000139656",2,1,4,0,6,2,0,0,1,0,1,0
"ENSG00000139668",705,1045,1197,1092,891,703,440,700,767,574,549,344
"ENSG00000139675",85,140,193,194,98,111,129,299,120,138,106,169
"ENSG00000139679",1011,1362,1069,1213,1211,1046,711,1322,614,549,646,517
"ENSG00000139684",1094,1506,1941,2103,1146,1286,864,1920,1040,1398,1154,1193
"ENSG00000139687",2000,2136,2009,2146,1883,1718,875,1458,1084,952,1023,346
"ENSG00000139697",1563,1903,2466,2217,1836,1569,826,1401,1384,1166,1147,623
"ENSG00000139714",878,768,1262,888,704,684,625,943,466,651,776,453
"ENSG00000139718",1391,1522,1757,1441,1135,1203,1067,1309,1503,1201,1290,441
"ENSG00000139719",299,329,443,419,312,293,212,309,254,282,333,168
"ENSG00000139722",1252,1382,1894,1786,1324,1524,1189,2250,1516,1792,1869,1661
"ENSG00000139725",27,39,60,40,56,67,31,49,35,26,26,17
"ENSG00000139726",1763,2018,2583,2367,1861,1837,1186,2239,1370,1436,1467,1009
"ENSG00000139734",55,95,88,122,53,93,24,139,37,87,55,67
"ENSG00000139737",27,14,18,22,20,30,52,99,11,12,25,7
"ENSG00000139746",1162,1659,1734,1774,1437,1380,771,1102,927,743,781,578
"ENSG00000139767",6,11,10,6,14,13,3,4,8,8,2,4
"ENSG00000139780",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139793",1403,1766,1676,1834,1619,1323,603,1013,825,693,711,344
"ENSG00000139797",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139800",0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000139826",533,616,734,645,562,577,306,504,394,339,347,223
"ENSG00000139832",591,437,805,655,394,500,545,953,717,700,762,572
"ENSG00000139835",688,734,1086,986,454,536,865,1245,903,756,826,580
"ENSG00000139842",2519,3424,4311,3955,2818,2902,1806,3561,2505,2642,2313,1598
"ENSG00000139865",123,275,466,680,299,319,178,332,255,229,154,203
"ENSG00000139874",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000139880",147,291,272,229,279,306,191,328,246,251,189,255
"ENSG00000139890",19,27,43,48,27,41,76,184,34,35,35,91
"ENSG00000139899",54,103,113,116,121,109,52,93,90,73,50,79
"ENSG00000139908",31,91,47,66,70,89,34,30,43,20,17,10
"ENSG00000139910",0,1,1,0,0,1,2,0,1,0,0,0
"ENSG00000139914",5,8,7,9,12,15,11,22,4,11,9,25
"ENSG00000139915",0,0,2,0,0,0,0,0,2,0,0,0
"ENSG00000139921",1287,1526,1643,1785,1299,1296,638,1596,940,928,970,576
"ENSG00000139926",1411,1960,1037,1231,1422,1596,595,1257,732,664,683,339
"ENSG00000139946",195,205,449,427,134,189,60,98,201,248,170,97
"ENSG00000139970",5,13,15,34,2,7,8,9,11,17,5,4
"ENSG00000139971",150,174,226,260,257,266,52,145,115,116,86,88
"ENSG00000139973",16,22,4,13,21,18,3,15,0,2,9,0
"ENSG00000139974",259,276,498,314,328,244,205,184,235,121,250,113
"ENSG00000139977",824,982,1080,1042,945,879,496,798,654,628,601,256
"ENSG00000139985",0,0,1,10,0,3,0,2,6,3,1,0
"ENSG00000139988",30,72,8,32,26,52,11,41,10,15,33,14
"ENSG00000139990",1966,2434,3325,2840,2132,2118,1285,1956,1903,1521,1508,758
"ENSG00000139998",582,745,1095,997,555,525,759,1098,797,736,765,451
"ENSG00000140006",230,233,261,319,223,228,132,247,154,160,131,107
"ENSG00000140009",4,15,14,14,13,11,9,18,7,7,12,10
"ENSG00000140015",1,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000140022",1132,1183,1108,909,789,709,759,938,763,595,772,458
"ENSG00000140025",723,772,1195,1072,537,596,352,760,459,582,479,277
"ENSG00000140030",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000140043",84,97,105,144,98,123,56,93,41,82,44,50
"ENSG00000140044",506,404,674,520,365,359,800,1351,663,653,814,595
"ENSG00000140057",3138,3948,4628,4350,2613,2682,1506,3538,1744,2390,2044,976
"ENSG00000140067",146,137,193,120,78,111,162,349,174,183,159,131
"ENSG00000140090",1,7,3,4,6,4,0,4,1,3,5,3
"ENSG00000140092",123,157,384,371,142,196,92,185,190,250,196,153
"ENSG00000140093",0,14,6,13,3,9,2,1,3,1,10,3
"ENSG00000140104",1016,1278,1524,1197,1087,1040,1145,1997,1155,988,895,1016
"ENSG00000140105",2344,2636,3043,2663,2257,2150,1409,2264,1666,1895,1859,1243
"ENSG00000140107",2,0,0,0,0,0,2,1,0,2,0,0
"ENSG00000140153",549,683,809,717,571,675,439,657,460,487,490,224
"ENSG00000140157",918,1037,1216,1156,780,820,500,950,736,617,687,267
"ENSG00000140199",1357,1603,1765,1598,1421,1257,560,687,970,740,1000,249
"ENSG00000140254",782,1246,1554,1402,1368,1381,774,1237,1066,804,891,658
"ENSG00000140259",996,997,1495,1167,895,885,834,1305,928,849,874,643
"ENSG00000140262",1381,1707,2139,2012,1501,1214,820,1145,1302,942,982,303
"ENSG00000140263",1250,1260,3218,2693,1657,1825,1205,1827,2373,1900,2070,970
"ENSG00000140264",5314,4077,7813,4015,4633,4116,5375,6965,4783,4034,6371,5759
"ENSG00000140265",543,705,799,693,618,629,337,542,508,371,408,158
"ENSG00000140274",134,270,103,90,298,323,89,122,84,71,143,69
"ENSG00000140279",1027,2217,1017,1256,2534,2953,510,892,719,831,1056,506
"ENSG00000140280",317,341,446,313,268,222,297,418,287,282,291,221
"ENSG00000140284",1847,2255,4861,4093,1889,1593,1320,2315,1840,2248,2163,1044
"ENSG00000140285",2,12,11,2,10,1,0,1,2,1,0,3
"ENSG00000140287",34,64,135,123,48,62,56,112,82,72,63,52
"ENSG00000140297",642,434,64,94,864,492,698,516,85,112,342,102
"ENSG00000140299",1219,1704,1444,1760,1271,1490,771,1474,902,918,880,588
"ENSG00000140307",815,728,941,788,761,656,676,1154,513,603,705,571
"ENSG00000140319",4066,4802,6739,6019,4092,3884,3973,6378,3794,4136,4477,3879
"ENSG00000140320",930,1136,1458,1104,953,1030,877,1206,1128,956,1003,493
"ENSG00000140323",10,4,5,3,1,2,1,8,7,8,4,2
"ENSG00000140326",476,533,704,450,427,462,425,639,518,404,446,264
"ENSG00000140332",1163,1078,1904,1388,1035,1028,1085,1354,1659,1275,1293,698
"ENSG00000140350",1687,1932,2740,2322,1495,1562,1414,2848,1646,1770,1753,1594
"ENSG00000140365",724,1046,1074,1152,695,865,979,2307,897,1230,1098,1898
"ENSG00000140367",834,906,1281,1175,851,921,664,1195,671,670,684,389
"ENSG00000140368",10,14,7,8,17,33,7,34,5,12,7,28
"ENSG00000140374",1221,1170,1779,1366,1364,1336,1019,1563,1083,971,1289,920
"ENSG00000140379",0,8,0,2,8,3,1,2,0,1,0,1
"ENSG00000140382",467,610,644,597,487,509,315,407,433,326,298,91
"ENSG00000140386",407,478,496,472,448,394,230,380,235,278,240,160
"ENSG00000140391",9806,10627,15705,13573,10504,11086,6050,12230,9230,10514,10106,7048
"ENSG00000140395",842,1228,1405,1419,915,1132,844,1760,891,1245,1004,1048
"ENSG00000140396",1439,1738,2052,2047,1436,1372,498,896,960,886,723,255
"ENSG00000140398",528,826,1250,933,977,839,922,1465,965,563,669,747
"ENSG00000140400",1030,1474,2084,1696,1395,1399,993,1498,1346,938,1029,913
"ENSG00000140403",6396,6133,12765,9852,7500,6019,4364,5693,5903,5150,5639,2342
"ENSG00000140406",884,847,1196,1000,683,804,821,1347,1195,1065,1107,599
"ENSG00000140416",536,546,1134,1020,1071,1111,381,715,664,576,559,612
"ENSG00000140443",2448,2828,3672,3368,2426,2536,1237,1870,2620,2324,2016,986
"ENSG00000140450",1651,1928,2814,2311,1848,1585,1385,1856,1452,846,1148,644
"ENSG00000140451",36,81,91,156,51,69,71,155,39,86,40,140
"ENSG00000140455",534,748,758,781,606,616,476,595,454,403,451,294
"ENSG00000140459",27,90,194,125,89,56,81,105,121,63,38,55
"ENSG00000140463",932,1154,1502,1333,792,877,600,893,591,767,707,370
"ENSG00000140464",2071,2249,2774,2238,1884,2032,1607,2120,2006,1817,2012,1308
"ENSG00000140465",0,0,0,0,0,0,0,0,3,1,2,0
"ENSG00000140470",104,108,180,137,84,78,59,95,119,82,93,49
"ENSG00000140471",154,279,349,347,305,249,96,203,143,179,154,132
"ENSG00000140474",1004,1316,1866,1499,1417,1391,1021,1896,1353,1103,1218,937
"ENSG00000140478",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000140479",294,285,332,223,309,261,150,268,129,144,166,63
"ENSG00000140481",2472,1769,4012,2407,1797,1279,2599,2640,2598,1680,2466,1191
"ENSG00000140488",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000140497",2912,2985,4310,3438,2701,2810,2770,4064,3126,2890,3499,1746
"ENSG00000140505",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000140506",0,0,0,0,1,2,0,0,0,0,0,0
"ENSG00000140511",159,175,192,124,197,173,167,263,190,145,173,148
"ENSG00000140519",1289,1212,161,241,2029,1250,580,838,295,478,1643,763
"ENSG00000140521",1349,1262,1951,1292,1457,1298,1026,1443,1421,950,1285,594
"ENSG00000140522",0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000140525",497,963,737,985,540,709,263,664,352,492,314,389
"ENSG00000140526",5268,6319,11605,11242,5830,5709,2470,3828,5855,6053,6234,1698
"ENSG00000140527",485,355,927,788,517,394,325,318,524,440,511,331
"ENSG00000140534",63,121,86,120,57,114,49,91,66,71,57,74
"ENSG00000140538",0,0,1,6,0,0,0,3,0,6,2,1
"ENSG00000140543",14,48,22,44,22,26,16,19,18,7,7,9
"ENSG00000140545",854,921,816,711,866,971,749,1130,617,538,829,614
"ENSG00000140548",782,880,1054,922,709,834,617,752,787,636,702,238
"ENSG00000140553",1417,1405,2203,1723,1392,1548,1498,2267,1872,1727,1943,1857
"ENSG00000140557",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000140563",557,732,863,929,553,684,355,527,499,385,365,179
"ENSG00000140564",2751,2393,2616,2167,2033,2392,2396,3482,2513,2184,2650,1167
"ENSG00000140575",7181,9310,7945,8129,6450,6393,2834,4637,3739,3613,3155,1455
"ENSG00000140577",479,533,600,592,419,499,383,529,515,409,422,192
"ENSG00000140598",648,760,806,733,544,509,362,659,426,407,374,284
"ENSG00000140600",73,95,104,40,104,76,56,74,23,34,75,41
"ENSG00000140612",1626,1814,2564,2204,1477,1556,1400,2709,1489,1606,1681,1409
"ENSG00000140623",0,0,1,6,0,0,1,0,0,0,0,0
"ENSG00000140632",3204,3113,4665,3738,2932,2825,2323,3105,3007,2342,2523,1058
"ENSG00000140650",241,350,361,430,320,354,132,293,157,175,191,92
"ENSG00000140675",17,22,13,0,7,9,16,17,15,10,14,3
"ENSG00000140678",0,1,6,6,3,2,4,3,2,3,5,6
"ENSG00000140682",120,162,109,91,75,96,182,297,139,99,126,239
"ENSG00000140688",536,732,1047,853,697,819,607,1012,731,657,660,402
"ENSG00000140691",503,510,624,514,393,554,578,925,562,559,678,773
"ENSG00000140694",564,709,984,1033,670,778,502,970,694,742,682,548
"ENSG00000140718",1129,1280,2752,1905,1388,1122,817,914,1301,1087,1142,511
"ENSG00000140740",3738,5140,5854,5787,4019,4440,3272,5659,3602,4153,4019,3019
"ENSG00000140743",198,242,324,330,242,255,159,325,193,214,210,121
"ENSG00000140749",3,2,0,5,1,0,1,0,1,0,1,0
"ENSG00000140750",613,882,725,658,517,670,469,728,544,535,487,330
"ENSG00000140795",170,329,229,297,354,514,59,110,104,191,141,38
"ENSG00000140798",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000140807",70,39,125,127,49,58,54,68,73,62,54,20
"ENSG00000140829",1517,1929,2296,2108,1358,1618,1177,2285,1397,1467,1230,1076
"ENSG00000140830",413,521,557,451,414,357,363,470,360,349,429,235
"ENSG00000140832",551,553,691,424,479,484,391,692,458,418,539,308
"ENSG00000140835",167,132,157,145,162,179,36,59,80,75,106,27
"ENSG00000140836",1131,1254,1551,1374,1021,878,579,707,962,718,702,293
"ENSG00000140839",5,6,21,8,10,1,2,4,9,3,4,12
"ENSG00000140848",1420,1474,3470,2919,1540,1764,1454,2204,2430,2378,2466,1219
"ENSG00000140853",170,332,366,327,258,241,174,335,249,214,165,144
