Bac.Via,plate,well,sample,treatment,bacteria,type,line,time,location,viability,date,Analyte Sample,HEKWell,Abs,log_pg.ml,pg.ml,LOD_pg.ml,via,concentration_avg,Bac.Via_label
Dpi.live,2,10,DpiC 48 Baso,D. pigrum,Dpi,sample,HNO919,48,Basal,live,2/14/2023,Unknown85,G4,1.746,1.8535060510480132,71.3684148852238,71.3684148852238,live,71.3684148852238,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
Dpi.live,2,59,DpiC 48 Ap,D. pigrum,Dpi,sample,HNO919,48,Apical,live,3/6/2023,Unknown134,H10,3.062,3.0238487071152105,1056.4494153747537,500,live,1056.4494153747537,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
Dpi.live,1,35,DpiC 48 Baso,D. pigrum,Dpi,sample,HNO919,48,Basal,live,1/24/2023,Unknown35,H7,2.015,2.0927326274021745,123.8034158411515,123.8034158411515,live,123.8034158411515,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
Dpi.live,1,60,DpiB 48 Baso,D. pigrum,Dpi,sample,HNO204,48,Basal,live,2/7/2023,Unknown60,A11,0.619,0.8512445211181259,7.0997739450812185,7.0997739450812185,live,7.0997739450812185,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
Dpi.live,1,9,DpiB 48 Ap,D. pigrum,Dpi,sample,HNO204,48,Apical,live,1/17/2023,Unknown9,F4,3.088,3.0469709784356875,1114.2200737693402,500,live,1114.2200737693402,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
Dpi.live,1,34,DpiC 48 Ap,D. pigrum,Dpi,sample,HNO919,48,Apical,live,1/24/2023,Unknown34,G7,3.075,3.0354098427754495,1084.9502963419277,500,live,1084.9502963419277,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
Dpi.live,1,59,DpiB 48 Ap,D. pigrum,Dpi,sample,HNO204,48,Apical,live,2/7/2023,Unknown59,H10,2.517,2.539170327512914,346.07507964233406,346.07507964233406,live,346.07507964233406,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
Dpi.live,2,34,DpiB 48 Ap,D. pigrum,Dpi,sample,HNO204,48,Apical,live,2/28/2023,Unknown109,G7,2.338,2.37998238265271,239.87356112773293,239.87356112773293,live,239.87356112773293,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
Dpi.live,2,9,DpiC 48 Ap,D. pigrum,Dpi,sample,HNO919,48,Apical,live,2/14/2023,Unknown84,F4,2.863,2.8468743997007944,702.869016988328,500,live,702.869016988328,<b><span style='color:white;'>'</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>'</span></b>
NB.control,1,3,NBB 48 Ap,No bacteria,NB,sample,HNO204,48,Apical,live,1/17/2023,Unknown3,H3,2.171,2.2314662553250337,170.39869144130554,170.39869144130554,control,142.2328303143826,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
