bacteria,bacteria_label
NB,Uncol
Dpi,<b><i><span style='color:#0443DC;'>Dpi</span></i></b> 
Sau,<b><i><span style='color:#6D05A0;'>Sau</span></i></b> 
Spn,<b><i><span style='color:#927ED1;'>Spn</span></i></b> 
