Species,bacteria_label
Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b> 
Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b> 
Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b> 
